,Sentence #,Word,Pos,Tag
213,Sentence 13,dc,NN,B-stoploc
214,Sentence 13,on,IN,O
215,Sentence 13,air,NN,B-airline_name
216,Sentence 13,canada,NN,I-airline_name
217,Sentence 14,are,VBP,O
218,Sentence 14,there,EX,O
219,Sentence 14,any,DT,O
220,Sentence 14,flights,NNS,O
221,Sentence 14,from,IN,O
222,Sentence 14,boston,NN,B-fromloc
223,Sentence 14,to,TO,O
224,Sentence 14,san,VB,B-toloc
225,Sentence 14,francisco,NN,I-toloc
226,Sentence 14,which,WDT,O
227,Sentence 14,stop,NN,O
228,Sentence 14,in,IN,O
229,Sentence 14,washington,NN,B-stoploc
230,Sentence 14,dc,NN,B-stoploc
231,Sentence 15,i,NNS,O
232,Sentence 15,need,VBP,O
233,Sentence 15,a,DT,O
234,Sentence 15,flight,NN,O
235,Sentence 15,on,IN,O
236,Sentence 15,air,NN,B-airline_name
237,Sentence 15,canada,NN,I-airline_name
238,Sentence 15,from,IN,O
239,Sentence 15,toronto,NN,B-fromloc
240,Sentence 15,to,TO,O
241,Sentence 15,san,VB,B-toloc
242,Sentence 15,diego,NN,I-toloc
243,Sentence 15,with,IN,O
244,Sentence 15,a,DT,O
245,Sentence 15,layover,NN,O
246,Sentence 15,in,IN,O
247,Sentence 15,dc,NN,B-stoploc
248,Sentence 16,what,WDT,O
249,Sentence 16,are,VBP,O
250,Sentence 16,the,DT,O
251,Sentence 16,restrictions,NNS,O
252,Sentence 16,on,IN,O
253,Sentence 16,the,DT,O
254,Sentence 16,cheapest,JJS,B-cost_relative
255,Sentence 16,one,CD,B-round_trip
256,Sentence 16,way,NN,I-round_trip
257,Sentence 16,fare,NN,O
258,Sentence 16,between,IN,O
259,Sentence 16,boston,NN,B-fromloc
260,Sentence 16,and,CC,O
261,Sentence 16,oakland,NN,B-toloc
262,Sentence 17,what,WDT,O
263,Sentence 17,are,VBP,O
264,Sentence 17,the,DT,O
265,Sentence 17,air,NN,O
266,Sentence 17,restrictions,NNS,O
267,Sentence 17,on,IN,O
268,Sentence 17,flights,NNS,O
269,Sentence 17,from,IN,O
270,Sentence 17,pittsburgh,NN,B-fromloc
271,Sentence 17,to,TO,O
272,Sentence 17,atlanta,VB,B-toloc
273,Sentence 17,for,IN,O
274,Sentence 17,the,DT,O
275,Sentence 17,airfare,NN,O
276,Sentence 17,of,IN,O
277,Sentence 17,416,CD,B-fare_amount
278,Sentence 17,dollars,NNS,I-fare_amount
279,Sentence 18,what,WP,O
280,Sentence 18,s,VBZ,O
281,Sentence 18,restriction,NN,O
282,Sentence 18,ap68,NN,B-restriction_code
283,Sentence 19,list,NN,O
284,Sentence 19,california,NN,B-state_name
285,Sentence 19,airports,NNS,O
286,Sentence 20,what,WP,O
287,Sentence 20,is,VBZ,O
288,Sentence 20,the,DT,O
289,Sentence 20,ground,NN,O
290,Sentence 20,transportation,NN,O
291,Sentence 20,available,JJ,O
292,Sentence 20,in,IN,O
293,Sentence 20,fort,NN,B-city_name
294,Sentence 20,worth,NN,I-city_name
295,Sentence 20,texas,NN,B-state_name
296,Sentence 21,which,WDT,O
297,Sentence 21,airport,NN,O
298,Sentence 21,is,VBZ,O
299,Sentence 21,closest,JJS,B-mod
300,Sentence 21,to,TO,O
301,Sentence 21,ontario,VB,B-city_name
302,Sentence 21,california,NN,B-state_name
303,Sentence 22,list,NN,O
304,Sentence 22,california,NN,B-state_name
305,Sentence 22,nevada,JJ,B-state_name
306,Sentence 22,arizona,NN,B-state_name
307,Sentence 22,airports,NNS,O
308,Sentence 23,actually,RB,O
309,Sentence 23,what,WP,O
310,Sentence 23,are,VBP,O
311,Sentence 23,the,DT,O
312,Sentence 23,nonstop,JJ,B-flight_stop
313,Sentence 23,flights,NNS,O
314,Sentence 23,from,IN,O
315,Sentence 23,las,NN,B-fromloc
316,Sentence 23,vegas,NN,I-fromloc
317,Sentence 23,to,TO,O
318,Sentence 23,burbank,VB,B-toloc
319,Sentence 23,on,IN,O
320,Sentence 23,saturday,NN,B-arrive_date.day_name
321,Sentence 23,may,MD,B-arrive_date.month_name
322,Sentence 23,twenty,VB,B-arrive_date.day_number
323,Sentence 23,two,CD,I-arrive_date.day_number
324,Sentence 24,how,WRB,O
325,Sentence 24,many,JJ,O
326,Sentence 24,nonstop,JJ,B-flight_stop
327,Sentence 24,flights,NNS,O
328,Sentence 24,going,VBG,O
329,Sentence 24,from,IN,O
330,Sentence 24,dallas,NNS,B-fromloc
331,Sentence 24,to,TO,O
332,Sentence 24,oakland,VB,B-toloc
333,Sentence 24,july,NN,B-arrive_date.month_name
334,Sentence 24,twenty,CD,B-arrive_date.day_number
335,Sentence 24,seventh,NN,I-arrive_date.day_number
336,Sentence 25,i,NN,O
337,Sentence 25,would,MD,O
338,Sentence 25,like,VB,O
339,Sentence 25,an,DT,O
340,Sentence 25,early,JJ,B-depart_time.period_of_day
341,Sentence 25,morning,NN,B-depart_time.period_of_day
342,Sentence 25,nonstop,JJ,B-flight_stop
343,Sentence 25,flight,NN,O
344,Sentence 25,from,IN,O
345,Sentence 25,new,JJ,B-fromloc
346,Sentence 25,york,NN,I-fromloc
347,Sentence 25,to,TO,O
348,Sentence 25,las,VB,B-toloc
349,Sentence 25,vegas,NN,I-toloc
350,Sentence 25,on,IN,O
351,Sentence 25,february,JJ,B-arrive_date.month_name
352,Sentence 25,twenty,NN,B-arrive_date.day_number
353,Sentence 25,eighth,NN,I-arrive_date.day_number
354,Sentence 26,show,VB,O
355,Sentence 26,me,PRP,O
356,Sentence 26,a,DT,O
357,Sentence 26,list,NN,O
358,Sentence 26,of,IN,O
359,Sentence 26,flights,NNS,O
360,Sentence 26,from,IN,O
361,Sentence 26,boston,NN,B-fromloc
362,Sentence 26,to,TO,O
363,Sentence 26,dc,VB,B-toloc
364,Sentence 26,arriving,VBG,O
365,Sentence 26,before,IN,B-arrive_time.time_relative
366,Sentence 26,9,CD,B-arrive_time.time
367,Sentence 26,am,VBP,I-arrive_time.time
368,Sentence 26,on,IN,O
369,Sentence 26,july,NN,B-arrive_date.month_name
370,Sentence 26,twenty,JJ,B-arrive_date.day_number
371,Sentence 26,second,NN,I-arrive_date.day_number
372,Sentence 27,is,VBZ,O
373,Sentence 27,there,RB,O
374,Sentence 27,a,DT,O
375,Sentence 27,late,JJ,B-depart_time.period_of_day
376,Sentence 27,afternoon,NN,I-depart_time.period_of_day
377,Sentence 27,flight,NN,O
378,Sentence 27,leaving,VBG,O
379,Sentence 27,washington,NN,B-fromloc
380,Sentence 27,for,IN,O
381,Sentence 27,denver,NN,B-toloc
382,Sentence 28,okay,NN,O
383,Sentence 28,on,IN,O
384,Sentence 28,tuesday,NN,B-depart_date.day_name
385,Sentence 28,june,NN,B-depart_date.month_name
386,Sentence 28,first,RB,B-depart_date.day_number
387,Sentence 28,i,JJ,O
388,Sentence 28,d,MD,O
389,Sentence 28,like,VB,O
390,Sentence 28,to,TO,O
391,Sentence 28,go,VB,O
392,Sentence 28,from,IN,O
393,Sentence 28,phoenix,NN,B-fromloc
394,Sentence 28,to,TO,O
395,Sentence 28,detroit,VB,B-toloc
396,Sentence 28,in,IN,O
397,Sentence 28,the,DT,O
398,Sentence 28,late,JJ,B-depart_time.period_of_day
399,Sentence 28,afternoon,NN,I-depart_time.period_of_day
400,Sentence 29,i,NNS,O
401,Sentence 29,need,VBP,O
402,Sentence 29,a,DT,O
403,Sentence 29,list,NN,O
404,Sentence 29,of,IN,O
405,Sentence 29,late,JJ,B-depart_time.period_of_day
406,Sentence 29,afternoon,NN,I-depart_time.period_of_day
407,Sentence 29,flights,NNS,O
408,Sentence 29,from,IN,O
409,Sentence 29,chicago,NN,B-fromloc
410,Sentence 29,to,TO,O
411,Sentence 29,milwaukee,VB,B-toloc
412,Sentence 30,i,NNS,O
413,Sentence 30,need,VBP,O
414,Sentence 30,a,DT,O
415,Sentence 30,list,NN,O
416,Sentence 30,of,IN,O
417,Sentence 30,late,JJ,B-depart_time.period_of_day
418,Sentence 30,afternoon,NN,I-depart_time.period_of_day
419,Sentence 30,flights,NNS,O
420,Sentence 30,from,IN,O
421,Sentence 30,st.,NN,B-fromloc
422,Sentence 30,louis,NNS,I-fromloc
423,Sentence 30,to,TO,O
424,Sentence 30,chicago,VB,B-toloc
425,Sentence 31,what,WP,O
426,Sentence 31,flights,NNS,O
427,Sentence 31,are,VBP,O
428,Sentence 31,available,JJ,O
429,Sentence 31,from,IN,O
430,Sentence 31,indianapolis,NN,B-fromloc
431,Sentence 31,to,TO,O
432,Sentence 31,san,VB,B-toloc
433,Sentence 31,diego,NN,I-toloc
434,Sentence 31,on,IN,O
435,Sentence 31,april,NN,B-depart_date.month_name
436,Sentence 31,twenty,NN,B-depart_date.day_number
437,Sentence 31,first,RB,I-depart_date.day_number
438,Sentence 31,in,IN,O
439,Sentence 31,the,DT,O
440,Sentence 31,late,JJ,B-depart_time.period_of_day
441,Sentence 31,afternoon,NN,I-depart_time.period_of_day
442,Sentence 32,what,WP,O
443,Sentence 32,does,VBZ,O
444,Sentence 32,ls,JJR,B-meal_code
445,Sentence 32,stand,VB,O
446,Sentence 32,for,IN,O
447,Sentence 33,what,WP,O
448,Sentence 33,does,VBZ,O
449,Sentence 33,s,VB,B-meal_code
450,Sentence 33,designate,VB,O
451,Sentence 33,as,IN,O
452,Sentence 33,a,DT,O
453,Sentence 33,meal,NN,B-meal
454,Sentence 34,show,VB,O
455,Sentence 34,me,PRP,O
456,Sentence 34,evening,VBG,B-period_of_day
457,Sentence 34,flights,NNS,O
458,Sentence 34,to,TO,O
459,Sentence 34,baltimore,VB,B-toloc
460,Sentence 35,list,NN,O
461,Sentence 35,the,DT,O
462,Sentence 35,flights,NNS,O
463,Sentence 35,on,IN,O
464,Sentence 35,wednesday,NN,B-depart_date.day_name
465,Sentence 35,from,IN,O
466,Sentence 35,denver,NN,B-fromloc
467,Sentence 35,to,TO,O
468,Sentence 35,washington,VB,B-toloc
469,Sentence 35,arriving,VBG,O
470,Sentence 35,in,IN,O
471,Sentence 35,washington,NN,B-toloc
472,Sentence 35,between,IN,O
473,Sentence 35,1115,CD,B-arrive_time.start_time
474,Sentence 35,am,VBP,I-arrive_time.start_time
475,Sentence 35,and,CC,O
476,Sentence 35,1245,CD,B-arrive_time.end_time
477,Sentence 35,pm,NN,I-arrive_time.end_time
478,Sentence 36,list,NN,O
479,Sentence 36,the,DT,O
480,Sentence 36,nonstop,JJ,B-flight_stop
481,Sentence 36,flights,NNS,O
482,Sentence 36,on,IN,O
483,Sentence 36,wednesday,JJ,B-arrive_date.day_name
484,Sentence 36,june,JJ,B-arrive_date.month_name
485,Sentence 36,second,NN,B-arrive_date.day_number
486,Sentence 36,from,IN,O
487,Sentence 36,miami,NN,B-fromloc
488,Sentence 36,to,TO,O
489,Sentence 36,baltimore,VB,B-toloc
490,Sentence 36,arriving,VBG,O
491,Sentence 36,in,IN,O
492,Sentence 36,baltimore,NN,B-toloc
493,Sentence 36,between,IN,O
494,Sentence 36,1115,CD,B-arrive_time.start_time
495,Sentence 36,am,VBP,I-arrive_time.start_time
496,Sentence 36,and,CC,O
497,Sentence 36,1245,CD,B-arrive_time.end_time
498,Sentence 36,pm,NN,I-arrive_time.end_time
499,Sentence 37,list,NN,O
500,Sentence 37,the,DT,O
501,Sentence 37,wednesday,JJ,B-depart_date.day_name
502,Sentence 37,flights,NNS,O
503,Sentence 37,from,IN,O
504,Sentence 37,denver,NN,B-fromloc
505,Sentence 37,to,TO,O
506,Sentence 37,baltimore,VB,B-toloc
507,Sentence 37,arriving,VBG,O
508,Sentence 37,in,IN,O
509,Sentence 37,baltimore,NN,B-toloc
510,Sentence 37,between,IN,O
511,Sentence 37,1115,CD,B-arrive_time.start_time
512,Sentence 37,am,VBP,I-arrive_time.start_time
513,Sentence 37,and,CC,O
514,Sentence 37,1245,CD,B-arrive_time.end_time
515,Sentence 37,pm,NN,I-arrive_time.end_time
516,Sentence 38,list,NN,O
517,Sentence 38,the,DT,O
518,Sentence 38,nonstop,JJ,B-flight_stop
519,Sentence 38,flights,NNS,O
520,Sentence 38,on,IN,O
521,Sentence 38,wednesday,JJ,B-arrive_date.day_name
522,Sentence 38,june,JJ,B-arrive_date.month_name
523,Sentence 38,second,NN,B-arrive_date.day_number
524,Sentence 38,from,IN,O
525,Sentence 38,miami,NN,B-fromloc
526,Sentence 38,to,TO,O
527,Sentence 38,washington,VB,B-toloc
528,Sentence 38,arriving,VBG,O
529,Sentence 38,in,IN,O
530,Sentence 38,washington,NN,B-toloc
531,Sentence 38,between,IN,O
532,Sentence 38,1115,CD,B-arrive_time.start_time
533,Sentence 38,am,VBP,I-arrive_time.start_time
534,Sentence 38,and,CC,O
535,Sentence 38,1245,CD,B-arrive_time.end_time
536,Sentence 38,pm,NN,I-arrive_time.end_time
537,Sentence 39,show,VB,O
538,Sentence 39,me,PRP,O
539,Sentence 39,all,DT,O
540,Sentence 39,of,IN,O
541,Sentence 39,the,DT,O
542,Sentence 39,daily,JJ,B-flight_days
543,Sentence 39,flights,NNS,O
544,Sentence 39,arriving,VBG,O
545,Sentence 39,in,IN,O
546,Sentence 39,denver,NN,B-toloc
547,Sentence 39,between,IN,O
548,Sentence 39,8,CD,B-arrive_time.start_time
549,Sentence 39,pm,NNS,I-arrive_time.start_time
550,Sentence 39,and,CC,O
551,Sentence 39,9,CD,B-arrive_time.end_time
552,Sentence 39,pm,NN,I-arrive_time.end_time
553,Sentence 40,list,NN,O
554,Sentence 40,all,DT,O
555,Sentence 40,trans,NNS,B-airline_name
556,Sentence 40,world,NN,I-airline_name
557,Sentence 40,airline,NN,I-airline_name
558,Sentence 40,flights,NNS,O
559,Sentence 40,from,IN,O
560,Sentence 40,indianapolis,NN,B-fromloc
561,Sentence 40,to,TO,O
562,Sentence 40,houston,VB,B-toloc
563,Sentence 40,that,DT,O
564,Sentence 40,arrive,NN,O
565,Sentence 40,in,IN,O
566,Sentence 40,houston,NN,B-toloc
567,Sentence 40,between,IN,O
568,Sentence 40,1030,CD,B-arrive_time.start_time
569,Sentence 40,am,VBP,I-arrive_time.start_time
570,Sentence 40,and,CC,O
571,Sentence 40,1130,CD,B-arrive_time.end_time
572,Sentence 40,am,VBP,I-arrive_time.end_time
573,Sentence 41,i,NNS,O
574,Sentence 41,need,VBP,O
575,Sentence 41,a,DT,O
576,Sentence 41,nonstop,JJ,B-flight_stop
577,Sentence 41,flight,NN,O
578,Sentence 41,from,IN,O
579,Sentence 41,atlanta,NN,B-fromloc
580,Sentence 41,to,TO,O
581,Sentence 41,baltimore,VB,B-toloc
582,Sentence 41,arriving,VBG,O
583,Sentence 41,between,IN,O
584,Sentence 41,5,CD,B-arrive_time.start_time
585,Sentence 41,pm,NNS,I-arrive_time.start_time
586,Sentence 41,and,CC,O
587,Sentence 41,730,CD,B-arrive_time.end_time
588,Sentence 41,pm,NN,I-arrive_time.end_time
589,Sentence 42,what,WP,O
590,Sentence 42,flights,NNS,O
591,Sentence 42,leave,VBP,O
592,Sentence 42,charlotte,JJ,B-fromloc
593,Sentence 42,north,JJ,B-fromloc
594,Sentence 42,carolina,NN,I-fromloc
595,Sentence 42,and,CC,O
596,Sentence 42,arrive,JJ,O
597,Sentence 42,in,IN,O
598,Sentence 42,phoenix,JJ,B-toloc
599,Sentence 42,arizona,NN,B-toloc
600,Sentence 42,on,IN,O
601,Sentence 42,monday,NN,B-arrive_date.day_name
602,Sentence 42,before,IN,B-arrive_time.time_relative
603,Sentence 42,4,CD,B-arrive_time.time
604,Sentence 42,pm,NN,I-arrive_time.time
605,Sentence 43,i,NN,O
606,Sentence 43,would,MD,O
607,Sentence 43,like,VB,O
608,Sentence 43,to,TO,O
609,Sentence 43,find,VB,O
610,Sentence 43,a,DT,O
611,Sentence 43,flight,NN,O
612,Sentence 43,from,IN,O
613,Sentence 43,charlotte,JJ,B-fromloc
614,Sentence 43,north,JJ,B-fromloc
615,Sentence 43,carolina,NN,I-fromloc
616,Sentence 43,to,TO,O
617,Sentence 43,las,VB,B-toloc
618,Sentence 43,vegas,NN,I-toloc
619,Sentence 43,i,RB,O
620,Sentence 43,would,MD,O
621,Sentence 43,like,VB,O
622,Sentence 43,a,DT,O
623,Sentence 43,stopover,NN,O
624,Sentence 43,in,IN,O
625,Sentence 43,st.,NN,B-stoploc
626,Sentence 43,louis,NN,I-stoploc
627,Sentence 44,flights,NNS,O
628,Sentence 44,from,IN,O
629,Sentence 44,newark,JJ,B-fromloc
630,Sentence 44,new,JJ,B-fromloc
631,Sentence 44,jersey,NN,I-fromloc
632,Sentence 44,to,TO,O
633,Sentence 44,cleveland,VB,B-toloc
634,Sentence 44,ohio,NN,B-toloc
635,Sentence 45,what,WP,O
636,Sentence 45,flights,NNS,O
637,Sentence 45,do,VBP,O
638,Sentence 45,you,PRP,O
639,Sentence 45,have,VBP,O
640,Sentence 45,from,IN,O
641,Sentence 45,newark,JJ,B-fromloc
642,Sentence 45,new,JJ,B-fromloc
643,Sentence 45,jersey,NN,I-fromloc
644,Sentence 45,to,TO,O
645,Sentence 45,ontario,VB,B-toloc
646,Sentence 45,california,NN,B-toloc
647,Sentence 45,that,WDT,O
648,Sentence 45,connect,VBP,B-connect
649,Sentence 45,in,IN,O
650,Sentence 45,phoenix,NN,B-stoploc
651,Sentence 46,flights,NNS,O
652,Sentence 46,from,IN,O
653,Sentence 46,newark,JJ,B-fromloc
654,Sentence 46,new,JJ,B-fromloc
655,Sentence 46,jersey,NN,I-fromloc
656,Sentence 46,to,TO,O
657,Sentence 46,cleveland,VB,B-toloc
658,Sentence 47,show,VB,O
659,Sentence 47,me,PRP,O
660,Sentence 47,the,DT,O
661,Sentence 47,flights,NNS,O
662,Sentence 47,from,IN,O
663,Sentence 47,newark,JJ,B-fromloc
664,Sentence 47,new,JJ,B-fromloc
665,Sentence 47,jersey,NN,I-fromloc
666,Sentence 47,to,TO,O
667,Sentence 47,ontario,VB,B-toloc
668,Sentence 47,international,JJ,I-toloc
669,Sentence 47,next,JJ,B-depart_date.date_relative
670,Sentence 47,saturday,NN,B-depart_date.day_name
671,Sentence 48,flights,NNS,O
672,Sentence 48,from,IN,O
673,Sentence 48,newark,JJ,B-fromloc
674,Sentence 48,new,JJ,B-fromloc
675,Sentence 48,jersey,NN,I-fromloc
676,Sentence 48,to,TO,O
677,Sentence 48,minneapolis,VB,B-toloc
678,Sentence 49,rental,JJ,B-transport_type
679,Sentence 49,cars,NNS,I-transport_type
680,Sentence 49,in,IN,O
681,Sentence 49,washington,NN,B-city_name
682,Sentence 49,dc,NN,B-state_code
683,Sentence 50,i,NN,O
684,Sentence 50,ll,MD,O
685,Sentence 50,need,VB,O
686,Sentence 50,to,TO,O
687,Sentence 50,rent,VB,O
688,Sentence 50,a,DT,O
689,Sentence 50,car,NN,B-transport_type
690,Sentence 50,in,IN,O
691,Sentence 50,washington,NN,B-city_name
692,Sentence 50,dc,NN,B-state_code
693,Sentence 51,what,WP,O
694,Sentence 51,sort,NN,O
695,Sentence 51,of,IN,O
696,Sentence 51,ground,NN,O
697,Sentence 51,transportation,NN,O
698,Sentence 51,is,VBZ,O
699,Sentence 51,there,RB,O
700,Sentence 51,in,IN,O
701,Sentence 51,washington,NN,B-city_name
702,Sentence 51,dc,NN,B-state_code
703,Sentence 52,show,VB,O
704,Sentence 52,me,PRP,O
705,Sentence 52,airports,NNS,O
706,Sentence 52,near,IN,O
